01,Counties in metro areas of 1 million population or more
02,"Counties in metro areas of 250,000 to 1 million population"
03,"Counties in metro areas of fewer than 250,000 population"
04,"Urban population of 20,000 or more, adjacent to a metro area"
05,"Urban population of 20,000 or more, not adjacent to a metro area"
06,"Urban population of 2,500 to 19,999, adjacent to a metro area"
07,"Urban population of 2,500 to 19,999, not adjacent to a metro area"
08,"Completely rural or less than 2,500 urban population, adjacent to a metro area"
09,"Completely rural or less than 2,500 urban population, not adjacent to a metro area"
96,Invalid state abbreviation or county code
97,Insufficient population data for county to determine rural urban code
98,Valid state/county combination but rural urban code not found
99,Missing or unknown state or county
